Data,tipo,quantidade,idMunicipio,municipio,Obitos
2020-05-07,Confirmado,25,230610,IRAUCUBA,0
2020-05-07,Confirmado,4,230620,ITAICABA,0
2020-05-07,Confirmado,125,230625,ITAITINGA,11
2020-05-07,Confirmado,29,230630,ITAPAJE,1
2020-05-07,Confirmado,276,230640,ITAPIPOCA,18
2020-05-07,Confirmado,23,230650,ITAPIUNA,1
2020-05-07,Confirmado,34,230655,ITAREMA,0
2020-05-07,Confirmado,22,230660,ITATIRA,2
2020-05-07,Confirmado,12,230670,JAGUARETAMA,1
2020-05-07,Confirmado,14,230680,JAGUARIBARA,1
2020-05-07,Confirmado,28,230690,JAGUARIBE,3
2020-05-07,Confirmado,11,230700,JAGUARUANA,1
2020-05-07,Confirmado,1,230710,JARDIM,0
2020-05-07,Confirmado,14,230725,JIJOCA DE JERICOACOARA,0
2020-05-07,Confirmado,41,230730,JUAZEIRO DO NORTE,5
2020-05-07,Confirmado,5,230740,JUCAS,0
2020-05-07,Confirmado,7,230750,LAVRAS DA MANGABEIRA,1
2020-05-07,Confirmado,47,230760,LIMOEIRO DO NORTE,3
2020-05-07,Confirmado,17,230763,MADALENA,0
2020-05-07,Confirmado,394,230765,MARACANAU,44
2020-05-07,Confirmado,156,230770,MARANGUAPE,20
2020-05-07,Confirmado,23,230780,MARCO,0
2020-05-07,Confirmado,1,230790,MARTINOPOLE,0
2020-05-07,Confirmado,45,230800,MASSAPE,4
2020-05-07,Confirmado,7,230810,MAURITI,1
2020-05-07,Confirmado,8,230820,MERUOCA,0
2020-05-07,Confirmado,3,230830,MILAGRES,0
2020-05-07,Confirmado,8,230835,MILHA,1
2020-05-07,Confirmado,2,230837,MIRAIMA,1
2020-05-07,Confirmado,6,230840,MISSAO VELHA,0
2020-05-07,Confirmado,16,230850,MOMBACA,1
2020-05-07,Confirmado,19,230860,MONSENHOR TABOSA,2
2020-05-07,Confirmado,72,230870,MORADA NOVA,0
2020-05-07,Confirmado,12,230880,MORAUJO,1
2020-05-07,Confirmado,22,230890,MORRINHOS,0
2020-05-07,Confirmado,22,230900,MUCAMBO,0
2020-05-07,Confirmado,8,230910,MULUNGU,0
2020-05-07,Confirmado,7,230920,NOVA OLINDA,0
2020-05-07,Confirmado,5,230930,NOVA RUSSAS,1
2020-05-07,Confirmado,3,230940,NOVO ORIENTE,1
2020-05-07,Confirmado,32,230945,OCARA,2
2020-05-07,Confirmado,30,230950,OROS,0
2020-05-07,Confirmado,83,230960,PACAJUS,2
2020-05-07,Confirmado,152,230970,PACATUBA,12
2020-05-07,Confirmado,10,230980,PACOTI,2
2020-05-07,Confirmado,1,231000,PALHANO,0
2020-05-07,Confirmado,3,231010,PALMACIA,0
2020-05-07,Confirmado,25,231020,PARACURU,0
2020-05-07,Confirmado,36,231025,PARAIPABA,0
2020-05-07,Confirmado,5,231030,PARAMBU,1
2020-05-07,Confirmado,3,231040,PARAMOTI,0
2020-05-07,Confirmado,23,231050,PEDRA BRANCA,3
2020-05-07,Confirmado,19,231070,PENTECOSTE,2
2020-05-07,Confirmado,5,231080,PEREIRO,0
2020-05-07,Confirmado,59,231085,PINDORETAMA,5
2020-05-07,Confirmado,1,231095,PIRES FERREIRA,0
2020-05-07,Confirmado,6,231100,PORANGA,0
2020-05-07,Confirmado,1,231110,PORTEIRAS,0
2020-05-07,Confirmado,1,231120,POTENGI,0
2020-05-07,Confirmado,4,231123,POTIRETAMA,0
2020-05-07,Confirmado,8,231126,QUITERIANOPOLIS,0
2020-05-07,Confirmado,102,231130,QUIXADA,1
2020-05-07,Confirmado,3,231135,QUIXELO,0
2020-05-07,Confirmado,90,231140,QUIXERAMOBIM,3
2020-05-07,Confirmado,11,231150,QUIXERE,1
2020-05-07,Confirmado,44,231160,REDENCAO,1
2020-05-07,Confirmado,7,231170,RERIUTABA,1
2020-05-07,Confirmado,56,231180,RUSSAS,4
2020-05-07,Confirmado,1,231195,SALITRE,1
2020-05-07,Confirmado,14,231220,SANTA QUITERIA,1
2020-05-07,Confirmado,13,231200,SANTANA DO ACARAU,1
2020-05-07,Confirmado,6,231210,SANTANA DO CARIRI,0
2020-05-07,Confirmado,8,231230,SAO BENEDITO,0
2020-05-07,Confirmado,141,231240,SAO GONCALO DO AMARANTE,3
2020-05-07,Confirmado,6,231250,SAO JOAO DO JAGUARIBE,0
2020-05-07,Confirmado,19,231260,SAO LUÍS DO CURU,1
2020-05-07,Confirmado,161,0,SEM INFORMAÇÃO,0
2020-05-07,Confirmado,9,231270,SENADOR POMPEU,0
2020-05-07,Confirmado,17,231280,SENADOR SA,0
2020-05-07,Confirmado,323,231290,SOBRAL,10
2020-05-07,Confirmado,9,231300,SOLONOPOLE,1
2020-05-07,Confirmado,17,231310,TABULEIRO DO NORTE,1
2020-05-07,Confirmado,6,231320,TAMBORIL,0
2020-05-07,Confirmado,66,231330,TAUA,3
2020-05-07,Confirmado,20,231335,TEJUCUOCA,0
2020-05-07,Confirmado,34,231340,TIANGUA,2
2020-05-07,Confirmado,32,231350,TRAIRI,4
2020-05-07,Confirmado,17,231355,TURURU,3
2020-05-07,Confirmado,6,231360,UBAJARA,1
2020-05-07,Confirmado,13,231375,UMIRIM,3
2020-05-07,Confirmado,26,231380,URUBURETAMA,0
2020-05-07,Confirmado,4,231390,URUOCA,0
2020-05-07,Confirmado,10,231395,VARJOTA,1
2020-05-07,Confirmado,10,231400,VARZEA ALEGRE,0
2020-05-07,Confirmado,40,231410,VICOSA DO CEARA,1
2020-05-08,Confirmado,1,230010,ABAIARA,0
2020-05-08,Confirmado,10,230015,ACARAPE,1
2020-05-08,Confirmado,126,230020,ACARAU,1
2020-05-08,Confirmado,12,230030,ACOPIARA,2
2020-05-08,Confirmado,2,230040,AIUABA,0
2020-05-08,Confirmado,28,230050,ALCANTARAS,1
2020-05-08,Confirmado,9,230070,ALTO SANTO,1
2020-05-08,Confirmado,10,230075,AMONTADA,2
2020-05-08,Confirmado,1,230080,ANTONINA DO NORTE,0
2020-05-08,Confirmado,11,230090,APUIARES,1
2020-05-08,Confirmado,116,230100,AQUIRAZ,2
2020-05-08,Confirmado,46,230110,ARACATI,2
2020-05-08,Confirmado,25,230120,ARACOIABA,0
2020-05-08,Confirmado,2,230125,ARARENDA,1
2020-05-08,Confirmado,1,230130,ARARIPE,0
2020-05-08,Confirmado,2,230140,ARATUBA,0
2020-05-08,Confirmado,17,230150,ARNEIROZ,0
2020-05-08,Confirmado,1,230160,ASSARE,0
2020-05-08,Confirmado,1,230170,AURORA,1
2020-05-08,Confirmado,26,230185,BANABUIU,0
2020-05-08,Confirmado,9,230190,BARBALHA,0
2020-05-08,Confirmado,10,230195,BARREIRA,1
2020-05-08,Confirmado,2,230200,BARRO,0
2020-05-08,Confirmado,11,230205,BARROQUINHA,0
2020-05-08,Confirmado,30,230210,BATURITÉ,2
2020-05-08,Confirmado,33,230220,BEBERIBE,3
2020-05-08,Confirmado,52,230230,BELA CRUZ,1
2020-05-08,Confirmado,24,230240,BOA VIAGEM,3
2020-05-08,Confirmado,11,230250,BREJO SANTO,1
2020-05-08,Confirmado,24,230260,CAMOCIM,0
2020-05-08,Confirmado,7,230270,CAMPOS SALES,0
2020-05-08,Confirmado,118,230280,CANINDE,2
2020-05-08,Confirmado,19,230290,CAPISTRANO,2
2020-05-08,Confirmado,10,230300,CARIDADE,2
2020-05-08,Confirmado,12,230310,CARIRE,0
2020-05-08,Confirmado,8,230320,CARIRIACU,1
2020-05-08,Confirmado,2,230330,CARIUS,1
2020-05-08,Confirmado,7,230340,CARNAUBAL,0
2020-05-08,Confirmado,75,230350,CASCAVEL,5
2020-05-08,Confirmado,2,230360,CATARINA,0
2020-05-08,Confirmado,1,230365,CATUNDA,0
2020-05-08,Confirmado,748,230370,CAUCAIA,30
2020-05-08,Confirmado,3,230380,CEDRO,0
2020-05-08,Confirmado,1,230390,CHAVAL,0
2020-05-08,Confirmado,35,230395,CHOROZINHO,1
2020-05-08,Confirmado,12,230393,CHORÓ,0
2020-05-08,Confirmado,80,230400,COREAU,0
2020-05-08,Confirmado,32,230410,CRATEUS,2
2020-05-08,Confirmado,21,230420,CRATO,0
2020-05-08,Confirmado,1,230423,CROATA,0
2020-05-08,Confirmado,24,230425,CRUZ,0
2020-05-08,Confirmado,4,230426,DEPUTADO IRAPUAN PINHEIRO,0
2020-05-08,Confirmado,9,230427,ERERE,0
2020-05-08,Confirmado,281,230428,EUSEBIO,7
2020-05-08,Confirmado,5,230430,FARIAS BRITO,2
2020-05-08,Confirmado,5,230435,FORQUILHA,0
2020-05-08,Confirmado,12886,230440,FORTALEZA,902
2020-05-08,Confirmado,5,230445,FORTIM,0
2020-05-08,Confirmado,9,230450,FRECHEIRINHA,0
2020-05-08,Confirmado,7,230460,GENERAL SAMPAIO,2
2020-05-08,Confirmado,11,230465,GRACA,0
2020-05-08,Confirmado,15,230470,GRANJA,0
2020-05-08,Confirmado,22,230490,GROAIRAS,0
2020-05-08,Confirmado,32,230495,GUAIÚBA,0
2020-05-08,Confirmado,11,230500,GUARACIABA DO NORTE,0
2020-05-08,Confirmado,6,230510,GUARAMIRANGA,0
2020-05-08,Confirmado,6,230520,HIDROLANDIA,0
2020-05-08,Confirmado,132,230523,HORIZONTE,3
2020-05-08,Confirmado,4,230526,IBARETAMA,1
2020-05-08,Confirmado,7,230530,IBIAPINA,0
2020-05-08,Confirmado,32,230533,IBICUITINGA,1
2020-05-08,Confirmado,22,230535,ICAPUI,2
2020-05-08,Confirmado,14,230540,ICO,1
2020-05-08,Confirmado,67,230550,IGUATU,8
2020-05-08,Confirmado,4,230560,INDEPENDENCIA,1
2020-05-08,Confirmado,10,230565,IPAPORANGA,0
2020-05-08,Confirmado,2,230570,IPAUMIRIM,0
2020-05-08,Confirmado,10,230580,IPU,0
2020-05-08,Confirmado,6,230590,IPUEIRAS,1
2020-05-08,Confirmado,9,230600,IRACEMA,0
2020-05-08,Confirmado,25,230610,IRAUCUBA,0
2020-05-08,Confirmado,4,230620,ITAICABA,1
2020-05-08,Confirmado,125,230625,ITAITINGA,11
2020-05-08,Confirmado,29,230630,ITAPAJE,1
2020-05-08,Confirmado,276,230640,ITAPIPOCA,18
2020-05-08,Confirmado,23,230650,ITAPIUNA,1
2020-05-08,Confirmado,34,230655,ITAREMA,0
2020-05-08,Confirmado,22,230660,ITATIRA,2
2020-05-08,Confirmado,12,230670,JAGUARETAMA,1
2020-05-08,Confirmado,14,230680,JAGUARIBARA,1
2020-05-08,Confirmado,28,230690,JAGUARIBE,3
2020-05-08,Confirmado,11,230700,JAGUARUANA,1
2020-05-08,Confirmado,1,230710,JARDIM,0
2020-05-08,Confirmado,14,230725,JIJOCA DE JERICOACOARA,0
2020-05-08,Confirmado,41,230730,JUAZEIRO DO NORTE,5
2020-05-08,Confirmado,5,230740,JUCAS,0
2020-05-08,Confirmado,7,230750,LAVRAS DA MANGABEIRA,1
2020-05-08,Confirmado,47,230760,LIMOEIRO DO NORTE,3
2020-05-08,Confirmado,17,230763,MADALENA,0
2020-05-08,Confirmado,396,230765,MARACANAU,45
2020-05-08,Confirmado,156,230770,MARANGUAPE,20
2020-05-08,Confirmado,23,230780,MARCO,0
2020-05-08,Confirmado,1,230790,MARTINOPOLE,0
2020-05-08,Confirmado,45,230800,MASSAPE,4
2020-05-08,Confirmado,7,230810,MAURITI,1
2020-05-08,Confirmado,8,230820,MERUOCA,0
2020-05-08,Confirmado,3,230830,MILAGRES,0
2020-05-08,Confirmado,8,230835,MILHA,1
2020-05-08,Confirmado,2,230837,MIRAIMA,1
2020-05-08,Confirmado,6,230840,MISSAO VELHA,0
2020-05-08,Confirmado,16,230850,MOMBACA,1
2020-05-08,Confirmado,19,230860,MONSENHOR TABOSA,2
2020-05-08,Confirmado,72,230870,MORADA NOVA,0
2020-05-08,Confirmado,12,230880,MORAUJO,1
2020-05-08,Confirmado,22,230890,MORRINHOS,0
2020-05-08,Confirmado,22,230900,MUCAMBO,0
2020-05-08,Confirmado,8,230910,MULUNGU,0
2020-05-08,Confirmado,7,230920,NOVA OLINDA,0
2020-05-08,Confirmado,5,230930,NOVA RUSSAS,1
2020-05-08,Confirmado,3,230940,NOVO ORIENTE,1
2020-05-08,Confirmado,32,230945,OCARA,2
2020-05-08,Confirmado,30,230950,OROS,0
2020-05-08,Confirmado,83,230960,PACAJUS,2
2020-05-08,Confirmado,152,230970,PACATUBA,13
2020-05-08,Confirmado,10,230980,PACOTI,2
2020-05-08,Confirmado,1,231000,PALHANO,0
2020-05-08,Confirmado,3,231010,PALMACIA,1
2020-05-08,Confirmado,25,231020,PARACURU,0
2020-05-08,Confirmado,36,231025,PARAIPABA,0
2020-05-08,Confirmado,5,231030,PARAMBU,1
2020-05-08,Confirmado,3,231040,PARAMOTI,0
2020-05-08,Confirmado,23,231050,PEDRA BRANCA,3
2020-05-08,Confirmado,19,231070,PENTECOSTE,2
2020-05-08,Confirmado,5,231080,PEREIRO,0
2020-05-08,Confirmado,59,231085,PINDORETAMA,5
2020-05-08,Confirmado,1,231095,PIRES FERREIRA,0
2020-05-08,Confirmado,6,231100,PORANGA,0
2020-05-08,Confirmado,1,231110,PORTEIRAS,0
2020-05-08,Confirmado,1,231120,POTENGI,0
2020-05-08,Confirmado,4,231123,POTIRETAMA,0
2020-05-08,Confirmado,8,231126,QUITERIANOPOLIS,0
2020-05-08,Confirmado,102,231130,QUIXADA,1
2020-05-08,Confirmado,3,231135,QUIXELO,0
2020-05-08,Confirmado,90,231140,QUIXERAMOBIM,3
2020-05-08,Confirmado,11,231150,QUIXERE,1
2020-05-08,Confirmado,44,231160,REDENCAO,1
2020-05-08,Confirmado,8,231170,RERIUTABA,1
2020-05-08,Confirmado,56,231180,RUSSAS,5
2020-05-08,Confirmado,1,231195,SALITRE,1
2020-05-08,Confirmado,14,231220,SANTA QUITERIA,1
2020-05-08,Confirmado,13,231200,SANTANA DO ACARAU,1
2020-05-08,Confirmado,7,231210,SANTANA DO CARIRI,0
2020-05-08,Confirmado,8,231230,SAO BENEDITO,0
2020-05-08,Confirmado,141,231240,SAO GONCALO DO AMARANTE,3
2020-05-08,Confirmado,6,231250,SAO JOAO DO JAGUARIBE,0
2020-05-08,Confirmado,19,231260,SAO LUÍS DO CURU,1
2020-05-08,Confirmado,178,0,SEM INFORMAÇÃO,0
2020-05-08,Confirmado,9,231270,SENADOR POMPEU,0
2020-05-08,Confirmado,17,231280,SENADOR SA,0
2020-05-08,Confirmado,323,231290,SOBRAL,12
2020-05-08,Confirmado,9,231300,SOLONOPOLE,1
2020-05-08,Confirmado,17,231310,TABULEIRO DO NORTE,1
2020-05-08,Confirmado,6,231320,TAMBORIL,0
2020-05-08,Confirmado,66,231330,TAUA,3
2020-05-08,Confirmado,20,231335,TEJUCUOCA,0
2020-05-08,Confirmado,34,231340,TIANGUA,2
2020-05-08,Confirmado,32,231350,TRAIRI,5
2020-05-08,Confirmado,17,231355,TURURU,3
2020-05-08,Confirmado,6,231360,UBAJARA,1
2020-05-08,Confirmado,13,231375,UMIRIM,4
2020-05-08,Confirmado,26,231380,URUBURETAMA,0
2020-05-08,Confirmado,4,231390,URUOCA,0
2020-05-08,Confirmado,10,231395,VARJOTA,1
2020-05-08,Confirmado,10,231400,VARZEA ALEGRE,0
2020-05-08,Confirmado,40,231410,VICOSA DO CEARA,1
2020-05-09,Confirmado,1,230010,ABAIARA,0
2020-05-09,Confirmado,10,230015,ACARAPE,1
2020-05-09,Confirmado,126,230020,ACARAU,1
2020-05-09,Confirmado,12,230030,ACOPIARA,2
2020-05-09,Confirmado,2,230040,AIUABA,0
2020-05-09,Confirmado,28,230050,ALCANTARAS,1
2020-05-09,Confirmado,9,230070,ALTO SANTO,1
2020-05-09,Confirmado,10,230075,AMONTADA,2
2020-05-09,Confirmado,1,230080,ANTONINA DO NORTE,0
2020-05-09,Confirmado,11,230090,APUIARES,1
2020-05-09,Confirmado,116,230100,AQUIRAZ,2
2020-05-09,Confirmado,46,230110,ARACATI,2
2020-05-09,Confirmado,25,230120,ARACOIABA,0
2020-05-09,Confirmado,2,230125,ARARENDA,1
2020-05-09,Confirmado,1,230130,ARARIPE,0
2020-05-09,Confirmado,2,230140,ARATUBA,0
2020-05-09,Confirmado,17,230150,ARNEIROZ,0
2020-05-09,Confirmado,1,230160,ASSARE,0
2020-05-09,Confirmado,1,230170,AURORA,1
2020-05-09,Confirmado,26,230185,BANABUIU,0
2020-05-09,Confirmado,9,230190,BARBALHA,0
2020-05-09,Confirmado,10,230195,BARREIRA,1
2020-05-09,Confirmado,2,230200,BARRO,0
2020-05-09,Confirmado,11,230205,BARROQUINHA,0
2020-05-09,Confirmado,30,230210,BATURITÉ,2
2020-05-09,Confirmado,33,230220,BEBERIBE,3
2020-05-09,Confirmado,52,230230,BELA CRUZ,1
2020-05-09,Confirmado,24,230240,BOA VIAGEM,3
2020-05-09,Confirmado,11,230250,BREJO SANTO,1
2020-05-09,Confirmado,24,230260,CAMOCIM,0
2020-05-09,Confirmado,7,230270,CAMPOS SALES,0
2020-05-09,Confirmado,118,230280,CANINDE,4
2020-05-09,Confirmado,19,230290,CAPISTRANO,2
2020-05-09,Confirmado,10,230300,CARIDADE,2
2020-05-09,Confirmado,12,230310,CARIRE,0
2020-05-09,Confirmado,8,230320,CARIRIACU,1
2020-05-09,Confirmado,2,230330,CARIUS,1
2020-05-09,Confirmado,7,230340,CARNAUBAL,0
2020-05-09,Confirmado,75,230350,CASCAVEL,5
2020-05-09,Confirmado,2,230360,CATARINA,0
2020-05-09,Confirmado,1,230365,CATUNDA,0
2020-05-09,Confirmado,751,230370,CAUCAIA,32
2020-05-09,Confirmado,3,230380,CEDRO,0
2020-05-09,Confirmado,1,230390,CHAVAL,0
2020-05-09,Confirmado,35,230395,CHOROZINHO,1
2020-05-09,Confirmado,12,230393,CHORÓ,0
2020-05-09,Confirmado,80,230400,COREAU,0
2020-05-09,Confirmado,32,230410,CRATEUS,2
2020-05-09,Confirmado,21,230420,CRATO,0
2020-05-09,Confirmado,1,230423,CROATA,0
2020-05-09,Confirmado,24,230425,CRUZ,0
2020-05-09,Confirmado,4,230426,DEPUTADO IRAPUAN PINHEIRO,0
2020-05-09,Confirmado,9,230427,ERERE,0
2020-05-09,Confirmado,282,230428,EUSEBIO,7
2020-05-09,Confirmado,5,230430,FARIAS BRITO,2
2020-05-09,Confirmado,5,230435,FORQUILHA,0
2020-05-09,Confirmado,12934,230440,FORTALEZA,939
2020-05-09,Confirmado,5,230445,FORTIM,0
2020-05-09,Confirmado,9,230450,FRECHEIRINHA,0
2020-05-09,Confirmado,7,230460,GENERAL SAMPAIO,2
2020-05-09,Confirmado,11,230465,GRACA,0
2020-05-09,Confirmado,15,230470,GRANJA,0
2020-05-09,Confirmado,22,230490,GROAIRAS,0
2020-05-09,Confirmado,32,230495,GUAIÚBA,1
2020-05-09,Confirmado,11,230500,GUARACIABA DO NORTE,0
2020-05-09,Confirmado,6,230510,GUARAMIRANGA,0
2020-05-09,Confirmado,6,230520,HIDROLANDIA,0
2020-05-09,Confirmado,132,230523,HORIZONTE,3
2020-05-09,Confirmado,4,230526,IBARETAMA,1
2020-05-09,Confirmado,7,230530,IBIAPINA,0
2020-05-09,Confirmado,32,230533,IBICUITINGA,1
2020-05-09,Confirmado,22,230535,ICAPUI,2
2020-05-09,Confirmado,14,230540,ICO,1
2020-05-09,Confirmado,67,230550,IGUATU,8
2020-05-09,Confirmado,4,230560,INDEPENDENCIA,1
2020-05-09,Confirmado,10,230565,IPAPORANGA,0
2020-05-09,Confirmado,2,230570,IPAUMIRIM,0
2020-05-09,Confirmado,10,230580,IPU,0
2020-05-09,Confirmado,6,230590,IPUEIRAS,1
2020-05-09,Confirmado,9,230600,IRACEMA,1
2020-05-09,Confirmado,25,230610,IRAUCUBA,0
2020-05-09,Confirmado,4,230620,ITAICABA,1
2020-05-09,Confirmado,125,230625,ITAITINGA,13
2020-05-09,Confirmado,29,230630,ITAPAJE,1
2020-05-09,Confirmado,276,230640,ITAPIPOCA,20
2020-05-09,Confirmado,23,230650,ITAPIUNA,1
2020-05-09,Confirmado,34,230655,ITAREMA,0
2020-05-09,Confirmado,22,230660,ITATIRA,2
2020-05-09,Confirmado,12,230670,JAGUARETAMA,1
2020-05-09,Confirmado,14,230680,JAGUARIBARA,1
2020-05-09,Confirmado,28,230690,JAGUARIBE,3
2020-05-09,Confirmado,11,230700,JAGUARUANA,1
2020-05-09,Confirmado,1,230710,JARDIM,0
2020-05-09,Confirmado,14,230725,JIJOCA DE JERICOACOARA,0
2020-05-09,Confirmado,41,230730,JUAZEIRO DO NORTE,5
2020-05-09,Confirmado,5,230740,JUCAS,0
2020-05-09,Confirmado,7,230750,LAVRAS DA MANGABEIRA,1
2020-05-09,Confirmado,47,230760,LIMOEIRO DO NORTE,3
2020-05-09,Confirmado,17,230763,MADALENA,0
2020-05-09,Confirmado,397,230765,MARACANAU,45
2020-05-09,Confirmado,156,230770,MARANGUAPE,21
2020-05-09,Confirmado,23,230780,MARCO,0
2020-05-09,Confirmado,1,230790,MARTINOPOLE,0
2020-05-09,Confirmado,45,230800,MASSAPE,4
2020-05-09,Confirmado,7,230810,MAURITI,2
2020-05-09,Confirmado,8,230820,MERUOCA,0
2020-05-09,Confirmado,3,230830,MILAGRES,0
2020-05-09,Confirmado,8,230835,MILHA,1
2020-05-09,Confirmado,2,230837,MIRAIMA,1
2020-05-09,Confirmado,6,230840,MISSAO VELHA,0
2020-05-09,Confirmado,16,230850,MOMBACA,1
2020-05-09,Confirmado,19,230860,MONSENHOR TABOSA,2
2020-05-09,Confirmado,72,230870,MORADA NOVA,0
2020-05-09,Confirmado,12,230880,MORAUJO,1
2020-05-09,Confirmado,22,230890,MORRINHOS,0
2020-05-09,Confirmado,22,230900,MUCAMBO,0
2020-05-09,Confirmado,8,230910,MULUNGU,0
2020-05-09,Confirmado,7,230920,NOVA OLINDA,0
2020-05-09,Confirmado,5,230930,NOVA RUSSAS,1
2020-05-09,Confirmado,3,230940,NOVO ORIENTE,1
2020-05-09,Confirmado,32,230945,OCARA,2
2020-05-09,Confirmado,30,230950,OROS,0
2020-05-09,Confirmado,83,230960,PACAJUS,3
2020-05-09,Confirmado,152,230970,PACATUBA,14
2020-05-09,Confirmado,10,230980,PACOTI,2
2020-05-09,Confirmado,1,231000,PALHANO,0
2020-05-09,Confirmado,3,231010,PALMACIA,1
2020-05-09,Confirmado,25,231020,PARACURU,0
2020-05-09,Confirmado,36,231025,PARAIPABA,0
2020-05-09,Confirmado,5,231030,PARAMBU,1
2020-05-09,Confirmado,3,231040,PARAMOTI,0
2020-05-09,Confirmado,23,231050,PEDRA BRANCA,3
2020-05-09,Confirmado,19,231070,PENTECOSTE,2
2020-05-09,Confirmado,5,231080,PEREIRO,0
2020-05-09,Confirmado,59,231085,PINDORETAMA,5
2020-05-09,Confirmado,1,231095,PIRES FERREIRA,0
2020-05-09,Confirmado,6,231100,PORANGA,0
2020-05-09,Confirmado,1,231110,PORTEIRAS,0
2020-05-09,Confirmado,1,231120,POTENGI,0
2020-05-09,Confirmado,4,231123,POTIRETAMA,0
2020-05-09,Confirmado,8,231126,QUITERIANOPOLIS,0
2020-05-09,Confirmado,102,231130,QUIXADA,1
2020-05-09,Confirmado,3,231135,QUIXELO,0
2020-05-09,Confirmado,91,231140,QUIXERAMOBIM,3
2020-05-09,Confirmado,11,231150,QUIXERE,1
2020-05-09,Confirmado,44,231160,REDENCAO,1
2020-05-09,Confirmado,9,231170,RERIUTABA,1
2020-05-09,Confirmado,56,231180,RUSSAS,6
2020-05-09,Confirmado,1,231195,SALITRE,1
2020-05-09,Confirmado,14,231220,SANTA QUITERIA,1
2020-05-09,Confirmado,13,231200,SANTANA DO ACARAU,1
2020-05-09,Confirmado,7,231210,SANTANA DO CARIRI,0
2020-05-09,Confirmado,8,231230,SAO BENEDITO,0
2020-05-09,Confirmado,141,231240,SAO GONCALO DO AMARANTE,4
2020-05-09,Confirmado,6,231250,SAO JOAO DO JAGUARIBE,0
2020-05-09,Confirmado,19,231260,SAO LUÍS DO CURU,1
2020-05-09,Confirmado,190,0,SEM INFORMAÇÃO,0
2020-05-09,Confirmado,9,231270,SENADOR POMPEU,0
2020-05-09,Confirmado,17,231280,SENADOR SA,0
2020-05-09,Confirmado,324,231290,SOBRAL,14
2020-05-09,Confirmado,9,231300,SOLONOPOLE,1
2020-05-09,Confirmado,17,231310,TABULEIRO DO NORTE,1
2020-05-09,Confirmado,6,231320,TAMBORIL,0
2020-05-09,Confirmado,66,231330,TAUA,3
2020-05-09,Confirmado,20,231335,TEJUCUOCA,0
2020-05-09,Confirmado,34,231340,TIANGUA,2
2020-05-09,Confirmado,32,231350,TRAIRI,5
2020-05-09,Confirmado,17,231355,TURURU,4
2020-05-09,Confirmado,6,231360,UBAJARA,1
2020-05-09,Confirmado,13,231375,UMIRIM,4
2020-05-09,Confirmado,26,231380,URUBURETAMA,0
2020-05-09,Confirmado,4,231390,URUOCA,0
2020-05-09,Confirmado,10,231395,VARJOTA,1
2020-05-09,Confirmado,10,231400,VARZEA ALEGRE,0
2020-05-09,Confirmado,41,231410,VICOSA DO CEARA,1
2020-05-10,Confirmado,1,230010,ABAIARA,0
2020-05-10,Confirmado,10,230015,ACARAPE,1
2020-05-10,Confirmado,126,230020,ACARAU,1
2020-05-10,Confirmado,12,230030,ACOPIARA,2
2020-05-10,Confirmado,2,230040,AIUABA,0
2020-05-10,Confirmado,28,230050,ALCANTARAS,1
2020-05-10,Confirmado,9,230070,ALTO SANTO,1
2020-05-10,Confirmado,10,230075,AMONTADA,2
2020-05-10,Confirmado,1,230080,ANTONINA DO NORTE,0
2020-05-10,Confirmado,11,230090,APUIARES,1
2020-05-10,Confirmado,116,230100,AQUIRAZ,2
2020-05-10,Confirmado,46,230110,ARACATI,2
2020-05-10,Confirmado,25,230120,ARACOIABA,0
2020-05-10,Confirmado,2,230125,ARARENDA,1
2020-05-10,Confirmado,1,230130,ARARIPE,0
2020-05-10,Confirmado,2,230140,ARATUBA,0
2020-05-10,Confirmado,17,230150,ARNEIROZ,0
2020-05-10,Confirmado,1,230160,ASSARE,0
2020-05-10,Confirmado,1,230170,AURORA,1
2020-05-10,Confirmado,26,230185,BANABUIU,0
2020-05-10,Confirmado,9,230190,BARBALHA,0
2020-05-10,Confirmado,10,230195,BARREIRA,1
2020-05-10,Confirmado,2,230200,BARRO,0
2020-05-10,Confirmado,11,230205,BARROQUINHA,0
2020-05-10,Confirmado,30,230210,BATURITÉ,3
2020-05-10,Confirmado,33,230220,BEBERIBE,3
2020-05-10,Confirmado,52,230230,BELA CRUZ,1
2020-05-10,Confirmado,24,230240,BOA VIAGEM,3
2020-05-10,Confirmado,11,230250,BREJO SANTO,1
2020-05-10,Confirmado,24,230260,CAMOCIM,0
2020-05-10,Confirmado,7,230270,CAMPOS SALES,0
2020-05-10,Confirmado,118,230280,CANINDE,4
2020-05-10,Confirmado,19,230290,CAPISTRANO,2
2020-05-10,Confirmado,10,230300,CARIDADE,2
2020-05-10,Confirmado,12,230310,CARIRE,0
2020-05-10,Confirmado,8,230320,CARIRIACU,1
2020-05-10,Confirmado,2,230330,CARIUS,1
2020-05-10,Confirmado,7,230340,CARNAUBAL,0
2020-05-10,Confirmado,75,230350,CASCAVEL,5
2020-05-10,Confirmado,2,230360,CATARINA,0
2020-05-10,Confirmado,1,230365,CATUNDA,0
2020-05-10,Confirmado,752,230370,CAUCAIA,32
2020-05-10,Confirmado,3,230380,CEDRO,0
2020-05-10,Confirmado,1,230390,CHAVAL,0
2020-05-10,Confirmado,35,230395,CHOROZINHO,1
2020-05-10,Confirmado,12,230393,CHORÓ,0
